Year,Quarter,NameOfStation,Line,StationLoad,Latitude,Longitude
2024,I квартал,Парк победы,Арбатско-Покровская линия,4,55.735679,37.516865
2024,I квартал,Парк победы,Солнцевская линия,3,55.735679,37.516865
2024,I квартал,Парк культуры,Кольцевая линия,1,55.736163,37.595027
2024,I квартал,Парк культуры,Сокольническая линия,2,55.736163,37.595027
2024,I квартал,Партизанская,Арбатско-Покровская линия,5,55.788401,37.74882
2024,I квартал,Первомайская,Арбатско-Покровская линия,5,55.794376,37.799364
2024,I квартал,Перово,Калининская линия,5,55.75098,37.78422
2024,I квартал,Петровский парк,Большая кольцевая линия,1,55.791957,37.557322
2024,I квартал,Петровско-Разумовская,Люблинско-Дмитровская линия,5,55.836565,37.575512
2024,I квартал,Петровско-Разумовская,Серпуховско-Тимирязевская линия,3,55.836565,37.575512
2024,I квартал,Печатники,Большая кольцевая линия,3,55.692921,37.728338
2024,I квартал,Печатники,Люблинско-Дмитровская линия,4,55.692921,37.728338
2024,I квартал,Пионерская,Филёвская линия,4,55.736027,37.466728
2024,I квартал,Планерная,Таганско-Краснопресненская линия,5,55.859676,37.436808
2024,I квартал,Площадь гагарина,Московское центральное кольцо,3,55.706944,37.585833
2024,I квартал,Площадь ильича,Калининская линия,3,55.747115,37.680726
2024,I квартал,Площадь революции,Арбатско-Покровская линия,5,55.756741,37.62236
2024,I квартал,Полежаевская,Таганско-Краснопресненская линия,2,55.777201,37.517895
2024,I квартал,Полянка,Серпуховско-Тимирязевская линия,1,55.736795,37.618594
2024,I квартал,Пражская,Серпуховско-Тимирязевская линия,4,55.610962,37.602386
2024,I квартал,Преображенская площадь,Сокольническая линия,2,55.796322,37.713582
2024,I квартал,Прокшино,Сокольническая линия,4,55.586456,37.43322
2024,I квартал,Пролетарская,Таганско-Краснопресненская линия,2,55.731546,37.666917
2024,I квартал,Проспект вернадского,Большая кольцевая линия,2,55.676549,37.504584
2024,I квартал,Проспект вернадского,Сокольническая линия,2,55.676549,37.504584
2024,I квартал,Проспект мира,Калужско-Рижская линия,1,55.779584,37.633646
2024,I квартал,Проспект мира,Кольцевая линия,1,55.779584,37.633646
2024,I квартал,Профсоюзная,Калужско-Рижская линия,1,55.677671,37.562595
2024,I квартал,Пушкинская,Таганско-Краснопресненская линия,1,55.765607,37.604356
2024,I квартал,Пыхтино,Солнцевская линия,5,55.625,37.298056
2024,I квартал,Пятницкое шоссе,Арбатско-Покровская линия,5,55.853634,37.353108
2024,I квартал,Раменки,Солнцевская линия,4,55.697691,37.498725
2024,I квартал,Рассказовка,Солнцевская линия,5,55.6324,37.3328
2024,I квартал,Речной вокзал,Замоскворецкая линия,5,55.008738,82.93827
2024,I квартал,Рижская,Большая кольцевая линия,2,55.792494,37.636114
2024,I квартал,Рижская,Калужско-Рижская линия,2,55.792494,37.636114
2024,I квартал,Римская,Люблинско-Дмитровская линия,2,55.747027,37.679996
2024,I квартал,Ростокино,Московское центральное кольцо,2,55.839444,37.667778
2024,I квартал,Румянцево,Сокольническая линия,3,55.633,37.4419
2024,I квартал,Рязанский проспект,Таганско-Краснопресненская линия,3,55.716139,37.792694
2024,I квартал,Савёловская,Большая кольцевая линия,2,55.794054,37.587163
2024,I квартал,Савёловская,Серпуховско-Тимирязевская линия,5,55.794054,37.587163
2024,I квартал,Саларьево,Сокольническая линия,3,55.6227,37.424
2024,I квартал,Свиблово,Калужско-Рижская линия,4,55.855558,37.653379
2024,I квартал,Севастопольская,Серпуховско-Тимирязевская линия,2,55.651451,37.59809
2024,I квартал,Селигерская,Люблинско-Дмитровская линия,5,55.866556,37.547117
2024,I квартал,Семёновская,Арбатско-Покровская линия,1,55.783096,37.719289
2024,I квартал,Серпуховская,Серпуховско-Тимирязевская линия,1,55.726548,37.624792
2024,I квартал,Славянский бульвар,Арбатско-Покровская линия,5,55.729542,37.470973
2024,I квартал,Смоленская,Арбатско-Покровская линия,1,55.747713,37.583802
2024,I квартал,Смоленская,Филёвская линия,3,55.747713,37.583802
2024,I квартал,Сокол,Замоскворецкая линия,2,55.805564,37.515245
2024,I квартал,Соколиная гора,Московское центральное кольцо,2,55.77,37.745278
2024,I квартал,Сокольники,Большая кольцевая линия,1,55.789282,37.679895
2024,I квартал,Сокольники,Сокольническая линия,3,55.789282,37.679895
2024,I квартал,Солнцево,Солнцевская линия,5,55.649,37.3911
2024,I квартал,Спартак,Таганско-Краснопресненская линия,4,55.8182,37.4352
2024,I квартал,Спортивная,Сокольническая линия,1,55.722388,37.562041
2024,I квартал,Сретенский бульвар,Люблинско-Дмитровская линия,2,55.766106,37.635688
2024,I квартал,Стахановская,Некрасовская линия,2,55.727207,37.752257
2024,I квартал,Стрешнево,Московское центральное кольцо,2,55.813611,37.486944
2024,I квартал,Строгино,Арбатско-Покровская линия,5,55.803831,37.402405
2024,I квартал,Студенческая,Филёвская линия,3,55.738761,37.54842
2024,I квартал,Сухаревская,Калужско-Рижская линия,1,55.772315,37.63285
2024,I квартал,Сходненская,Таганско-Краснопресненская линия,5,55.84926,37.44076
2024,I квартал,Таганская,Кольцевая линия,1,55.742396,37.653334
2024,I квартал,Таганская,Таганско-Краснопресненская линия,2,55.742396,37.653334
2024,I квартал,Тверская,Замоскворецкая линия,3,55.765343,37.603918
2024,I квартал,Театральная,Замоскворецкая линия,3,55.758808,37.61768
2024,I квартал,Текстильщики,Большая кольцевая линия,3,55.709211,37.732117
2024,I квартал,Текстильщики,Таганско-Краснопресненская линия,3,55.709211,37.732117
2024,I квартал,Телецентр,Московская монорельсовая транспортная система,4,55.821795,37.608975
2024,I квартал,Терехово,Большая кольцевая линия,2,55.748108,37.459738
2024,I квартал,Технопарк,Замоскворецкая линия,2,55.695,37.664167
2024,I квартал,Тимирязевская,Московская монорельсовая транспортная система,4,55.81866,37.574498
2024,I квартал,Тимирязевская,Серпуховско-Тимирязевская линия,4,55.81866,37.574498
2024,I квартал,Третьяковская,Калининская линия,1,55.74073,37.625624
2024,I квартал,Третьяковская,Калужско-Рижская линия,3,55.74073,37.625624
2024,I квартал,Тропарёво,Сокольническая линия,4,55.6459,37.4725
2024,I квартал,Трубная,Люблинско-Дмитровская линия,1,55.76771,37.621926
2024,I квартал,Тульская,Серпуховско-Тимирязевская линия,1,55.70961,37.622569
2024,I квартал,Тургеневская,Калужско-Рижская линия,1,55.765371,37.636732
2024,I квартал,Тушинская,Таганско-Краснопресненская линия,3,55.825479,37.437024
2024,I квартал,Тёплый стан,Калужско-Рижская линия,5,55.61873,37.505912
2024,I квартал,Угрешская,Московское центральное кольцо,2,55.718333,37.697778
2024,I квартал,Улица 1905 года,Таганско-Краснопресненская линия,1,55.763944,37.562271
2024,I квартал,Улица академика королёва,Московская монорельсовая транспортная система,4,55.821821,37.627167
2024,I квартал,Улица горчакова,Бутовская линия Лёгкого метро,4,55.542281,37.532063
2024,I квартал,Улица милашенкова,Московская монорельсовая транспортная система,4,55.821876,37.591206
2024,I квартал,Улица сергея эйзенштейна,Московская монорельсовая транспортная система,4,55.829305,37.644997
2024,I квартал,Улица скобелевская,Бутовская линия Лёгкого метро,5,55.548103,37.552721
2024,I квартал,Улица старокачаловская,Бутовская линия Лёгкого метро,3,55.569194,37.576074
2024,I квартал,Улица академика янгеля,Серпуховско-Тимирязевская линия,5,55.596753,37.601498
2024,I квартал,Университет,Сокольническая линия,2,55.69329,37.534511
2024,I квартал,Физтех,Люблинско-Дмитровская линия,5,55.921536,37.546498
2024,I квартал,Филатов луг,Сокольническая линия,5,55.601177,37.407995
2024,I квартал,Фили,Филёвская линия,4,55.746763,37.514035
2024,I квартал,Филёвский парк,Филёвская линия,4,55.739665,37.483902
2024,I квартал,Фонвизинская,Люблинско-Дмитровская линия,4,55.822778,37.588056
2024,I квартал,Фрунзенская,Сокольническая линия,1,55.727462,37.58022
2024,I квартал,Ховрино,Замоскворецкая линия,3,55.878273,37.480768
2024,I квартал,Хорошёво,Московское центральное кольцо,2,55.777222,37.507222
2024,I квартал,Хорошёвская,Большая кольцевая линия,2,55.776862,37.520797
2024,I квартал,Цска,Большая кольцевая линия,1,55.786602,37.533301
2024,I квартал,Царицыно,Замоскворецкая линия,3,55.620982,37.669612
2024,I квартал,Цветной бульвар,Серпуховско-Тимирязевская линия,1,55.771653,37.620466
2024,I квартал,Черкизовская,Сокольническая линия,3,55.802787,37.744863
2024,I квартал,Чертановская,Серпуховско-Тимирязевская линия,4,55.640538,37.606065
2024,I квартал,Чеховская,Серпуховско-Тимирязевская линия,1,55.765747,37.608493
2024,I квартал,Чистые пруды,Сокольническая линия,1,55.76499,37.638293
2024,I квартал,Чкаловская,Люблинско-Дмитровская линия,2,55.755951,37.659293
2024,I квартал,Шаболовская,Калужско-Рижская линия,1,55.718828,37.607892
2024,I квартал,Шелепиха,Большая кольцевая линия,3,55.7575,37.525556
2024,I квартал,Шелепиха,Московское центральное кольцо,2,55.7575,37.525556
2024,I квартал,Шипиловская,Люблинско-Дмитровская линия,4,55.621667,37.743611
2024,I квартал,Шоссе энтузиастов,Калининская линия,1,55.75809,37.751703
2024,I квартал,Шоссе энтузиастов,Московское центральное кольцо,1,55.75809,37.751703
2024,I квартал,Щукинская,Таганско-Краснопресненская линия,4,55.8094,37.463241
2024,I квартал,Щёлковская,Арбатско-Покровская линия,3,55.809962,37.798261
2024,I квартал,Электрозаводская,Арбатско-Покровская линия,3,55.782057,37.7053
2024,I квартал,Электрозаводская,Большая кольцевая линия,3,55.782057,37.7053
2024,I квартал,Юго-Восточная,Некрасовская линия,3,55.705351,37.817995
2024,I квартал,Юго-Западная,Сокольническая линия,1,55.663146,37.482852
2024,I квартал,Южная,Серпуховско-Тимирязевская линия,4,55.622436,37.609047
2024,I квартал,Ясенево,Калужско-Рижская линия,5,55.606182,37.5334
2024,I квартал,Яхромская,Люблинско-Дмитровская линия,5,55.879904,37.545429
2024,I квартал,Улица дмитриевского,Некрасовская линия,3,55.710311,37.879045
2024,II квартал,Авиамоторная,Большая кольцевая линия,1,55.751933,37.717444
2024,II квартал,Авиамоторная,Калининская линия,1,55.751933,37.717444
2024,II квартал,Автозаводская,Замоскворецкая линия,1,55.706634,37.657008
2024,II квартал,Автозаводская,Московское центральное кольцо,2,55.706634,37.657008
2024,II квартал,Академическая,Калужско-Рижская линия,3,55.687147,37.5723
2024,II квартал,Александровский сад,Филёвская линия,3,55.752255,37.608775
2024,II квартал,Алексеевская,Калужско-Рижская линия,2,55.807794,37.638699
2024,II квартал,Алма-Атинская,Замоскворецкая линия,5,55.63349,37.765678
2024,II квартал,Алтуфьево,Серпуховско-Тимирязевская линия,5,55.899034,37.586473
2024,II квартал,Аминьевская,Большая кольцевая линия,5,55.697189,37.464931
2024,II квартал,Андроновка,Московское центральное кольцо,4,55.741111,37.734444
2024,II квартал,Аннино,Серпуховско-Тимирязевская линия,3,55.583477,37.596999
2024,II квартал,Арбатская,Арбатско-Покровская линия,1,55.752312,37.60349
2024,II квартал,Арбатская,Филёвская линия,5,55.752312,37.60349
2024,II квартал,Аэропорт,Замоскворецкая линия,2,55.800441,37.530477
2024,II квартал,Аэропорт внуково,Солнцевская линия,3,55.607087,37.287702
2024,II квартал,Бабушкинская,Калужско-Рижская линия,5,55.870641,37.664341
2024,II квартал,Багратионовская,Филёвская линия,4,55.743544,37.497042
2024,II квартал,Балтийская,Московское центральное кольцо,1,55.825833,37.496111
2024,II квартал,Баррикадная,Таганско-Краснопресненская линия,2,55.760793,37.581242
2024,II квартал,Бауманская,Арбатско-Покровская линия,3,55.772405,37.67904
2024,II квартал,Беговая,Таганско-Краснопресненская линия,2,55.773505,37.545518
2024,II квартал,Белокаменная,Московское центральное кольцо,4,55.83,37.700556
2024,II квартал,Беломорская,Замоскворецкая линия,5,55.865369,37.475692
2024,II квартал,Белорусская,Замоскворецкая линия,5,55.777439,37.582107
2024,II квартал,Белорусская,Кольцевая линия,3,55.777439,37.582107
2024,II квартал,Беляево,Калужско-Рижская линия,2,55.642357,37.526115
2024,II квартал,Бибирево,Серпуховско-Тимирязевская линия,4,55.883868,37.603011
2024,II квартал,Библиотека имени ленина,Сокольническая линия,4,55.752123,37.610388
2024,II квартал,Битцевский парк,Бутовская линия Лёгкого метро,5,55.600066,37.556058
2024,II квартал,Борисово,Люблинско-Дмитровская линия,4,55.6325,37.743333
2024,II квартал,Боровицкая,Серпуховско-Тимирязевская линия,2,55.750399,37.60934
2024,II квартал,Боровское шоссе,Солнцевская линия,5,55.647,37.3701
2024,II квартал,Ботанический сад,Калужско-Рижская линия,1,55.844597,37.637811
2024,II квартал,Ботанический сад,Московское центральное кольцо,3,55.844597,37.637811
2024,II квартал,Братиславская,Люблинско-Дмитровская линия,5,55.658817,37.748415
2024,II квартал,Бульвар дмитрия донского,Серпуховско-Тимирязевская линия,3,55.568201,37.576856
2024,II квартал,Бульвар рокоссовского,Московское центральное кольцо,2,55.814916,37.732227
2024,II квартал,Бульвар рокоссовского,Сокольническая линия,4,55.814916,37.732227
2024,II квартал,Бульвар адмирала ушакова,Бутовская линия Лёгкого метро,4,55.545207,37.542329
2024,II квартал,Бунинская аллея,Бутовская линия Лёгкого метро,5,55.537977,37.515899
2024,II квартал,Бутырская,Люблинско-Дмитровская линия,2,55.813333,37.602778
2024,II квартал,Вднх,Калужско-Рижская линия,3,55.819626,37.640751
2024,II квартал,Варшавская,Большая кольцевая линия,5,55.653406,37.619711
2024,II квартал,Верхние котлы,Московское центральное кольцо,2,55.69,37.618889
2024,II квартал,Верхние лихоборы,Люблинско-Дмитровская линия,4,55.855143,37.561589
2024,II квартал,Владыкино,Московское центральное кольцо,1,55.848236,37.590451
2024,II квартал,Владыкино,Серпуховско-Тимирязевская линия,3,55.848236,37.590451
2024,II квартал,Водный стадион,Замоскворецкая линия,3,55.838978,37.487515
2024,II квартал,Войковская,Замоскворецкая линия,2,55.818923,37.497791
2024,II квартал,Волгоградский проспект,Таганско-Краснопресненская линия,2,55.725546,37.685197
2024,II квартал,Волжская,Люблинско-Дмитровская линия,3,55.690446,37.754314
2024,II квартал,Волоколамская,Арбатско-Покровская линия,5,55.835154,37.382453
2024,II квартал,Воробьёвы горы,Сокольническая линия,5,55.709169,37.557293
2024,II квартал,Воронцовская,Большая кольцевая линия,2,55.658845,37.539446
2024,II квартал,Выставочный центр,Московская монорельсовая транспортная система,4,55.824086,37.638494
2024,II квартал,Выхино,Таганско-Краснопресненская линия,3,55.715983,37.816788
2024,II квартал,Говорово,Солнцевская линия,5,55.6588,37.4174
2024,II квартал,Давыдково,Большая кольцевая линия,3,55.71517,37.45177
2024,II квартал,Деловой центр,Большая кольцевая линия,3,55.750243,37.542641
2024,II квартал,Деловой центр,Солнцевская линия,3,55.750243,37.542641
2024,II квартал,Деловой центр,Филёвская линия,4,55.750243,37.542641
2024,II квартал,Динамо,Замоскворецкая линия,2,55.789704,37.558212
2024,II квартал,Дмитровская,Серпуховско-Тимирязевская линия,1,55.808056,37.581734
2024,II квартал,Добрынинская,Кольцевая линия,1,55.728994,37.622533
2024,II квартал,Домодедовская,Замоскворецкая линия,3,55.610131,37.717111
2024,II квартал,Достоевская,Люблинско-Дмитровская линия,2,55.781667,37.613889
2024,II квартал,Дубровка,Люблинско-Дмитровская линия,1,55.71807,37.676259
2024,II квартал,Дубровка,Московское центральное кольцо,2,55.71807,37.676259
2024,II квартал,Жулебино,Таганско-Краснопресненская линия,5,55.684722,37.855833
2024,II квартал,Зил,Московское центральное кольцо,2,55.698333,37.648333
2024,II квартал,Зорге,Московское центральное кольцо,3,55.787778,37.504444
2024,II квартал,Зюзино,Большая кольцевая линия,2,55.655717,37.57369
2024,II квартал,Зябликово,Люблинско-Дмитровская линия,5,55.611944,37.745278
2024,II квартал,Измайлово,Московское центральное кольцо,2,55.788611,37.742778
2024,II квартал,Измайловская,Арбатско-Покровская линия,3,55.787713,37.779896
2024,II квартал,Калужская,Калужско-Рижская линия,1,55.656682,37.540075
2024,II квартал,Кантемировская,Замоскворецкая линия,5,55.636107,37.656218
2024,II квартал,Каховская,Большая кольцевая линия,2,55.65278,37.597955
2024,II квартал,Каширская,Большая кольцевая линия,2,55.655745,37.649683
2024,II квартал,Каширская,Замоскворецкая линия,4,55.655745,37.649683
2024,II квартал,Киевская,Арбатско-Покровская линия,3,55.743117,37.564132
2024,II квартал,Киевская,Кольцевая линия,5,55.743117,37.564132
2024,II квартал,Киевская,Филёвская линия,4,55.743117,37.564132
2024,II квартал,Китай-Город,Калужско-Рижская линия,1,55.756498,37.631326
2024,II квартал,Китай-Город,Таганско-Краснопресненская линия,4,55.756498,37.631326
2024,II квартал,Кленовый бульвар,Большая кольцевая линия,3,55.674692,37.681568
2024,II квартал,Кожуховская,Люблинско-Дмитровская линия,1,55.706156,37.68544
2024,II квартал,Коломенская,Замоскворецкая линия,3,55.677423,37.663719
2024,II квартал,Комсомольская,Кольцевая линия,3,55.774072,37.654565
2024,II квартал,Комсомольская,Сокольническая линия,3,55.774072,37.654565
2024,II квартал,Коньково,Калужско-Рижская линия,4,55.631857,37.519156
2024,II квартал,Коптево,Московское центральное кольцо,2,55.839637,37.520037
2024,II квартал,Косино,Некрасовская линия,4,55.703423,37.851305
2024,II квартал,Котельники,Таганско-Краснопресненская линия,3,55.6743,37.8582
2024,II квартал,Красногвардейская,Замоскворецкая линия,5,55.614075,37.742697
2024,II квартал,Краснопресненская,Кольцевая линия,3,55.760378,37.577114
2024,II квартал,Красносельская,Сокольническая линия,2,55.780014,37.666097
2024,II квартал,Красные ворота,Сокольническая линия,2,55.768307,37.6478
2024,II квартал,Крестьянская застава,Люблинско-Дмитровская линия,2,55.732278,37.665325
2024,II квартал,Кропоткинская,Сокольническая линия,1,55.745297,37.604217
2024,II квартал,Крылатское,Арбатско-Покровская линия,5,55.756842,37.408139
2024,II квартал,Крымская,Московское центральное кольцо,2,55.690038,37.605
2024,II квартал,Кузнецкий мост,Таганско-Краснопресненская линия,1,55.761498,37.624423
2024,II квартал,Кузьминки,Таганско-Краснопресненская линия,4,55.705493,37.763295
2024,II квартал,Кунцевская,Арбатско-Покровская линия,4,55.730634,37.445123
2024,II квартал,Кунцевская,Большая кольцевая линия,4,55.730634,37.445123
2024,II квартал,Кунцевская,Филёвская линия,4,55.730634,37.445123
2024,II квартал,Курская,Арбатско-Покровская линия,2,55.758564,37.659039
2024,II квартал,Курская,Кольцевая линия,3,55.758564,37.659039
2024,II квартал,Кутузовская,Московское центральное кольцо,1,55.740544,37.5341
2024,II квартал,Кутузовская,Филёвская линия,2,55.740544,37.5341
2024,II квартал,Ленинский проспект,Калужско-Рижская линия,3,55.70678,37.58499
2024,II квартал,Лермонтовский проспект,Таганско-Краснопресненская линия,5,55.702036,37.851044
2024,II квартал,Лесопарковая,Бутовская линия Лёгкого метро,5,55.581656,37.577816
2024,II квартал,Лефортово,Большая кольцевая линия,2,55.764693,37.706757
2024,II квартал,Лианозово,Люблинско-Дмитровская линия,5,55.898614,37.544854
2024,II квартал,Лихоборы,Московское центральное кольцо,3,55.855143,37.561589
2024,II квартал,Локомотив,Московское центральное кольцо,3,55.803219,37.745742
2024,II квартал,Ломоносовский проспект,Солнцевская линия,4,55.70706,37.516063
2024,II квартал,Лубянка,Сокольническая линия,2,55.759889,37.625336
2024,II квартал,Лужники,Московское центральное кольцо,1,55.720278,37.563056
2024,II квартал,Лухмановская,Некрасовская линия,5,55.708516,37.900569
2024,II квартал,Люблино,Люблинско-Дмитровская линия,5,55.676596,37.761639
2024,II квартал,Марксистская,Калининская линия,1,55.740746,37.65604
2024,II квартал,Марьина роща,Большая кольцевая линия,3,55.793723,37.61618
2024,II квартал,Марьина роща,Большая кольцевая линия,3,55.793723,37.61618
2024,II квартал,Марьина роща,Люблинско-Дмитровская линия,2,55.793723,37.61618
2024,II квартал,Марьина роща,Люблинско-Дмитровская линия,2,55.793723,37.61618
2024,II квартал,Марьино,Люблинско-Дмитровская линия,5,55.649158,37.743844
2024,II квартал,Маяковская,Замоскворецкая линия,1,55.769808,37.596192
2024,II квартал,Медведково,Калужско-Рижская линия,3,55.888103,37.661562
2024,II квартал,Менделеевская,Серпуховско-Тимирязевская линия,1,55.781999,37.599141
2024,II квартал,Минская,Солнцевская линия,4,55.723947,37.497872
2024,II квартал,Митино,Арбатско-Покровская линия,5,55.846098,37.36122
2024,II квартал,Мичуринский проспект,Большая кольцевая линия,3,55.6888,37.485
2024,II квартал,Мичуринский проспект,Солнцевская линия,4,55.6888,37.485
2024,II квартал,Мнёвники,Большая кольцевая линия,4,55.761148,37.47139
2024,II квартал,Молодёжная,Арбатско-Покровская линия,5,55.741375,37.415627
2024,II квартал,Москва-Сити,Московское центральное кольцо,1,55.748324,37.533282
2024,II квартал,Москва-Сити,Филёвская линия,3,55.748324,37.533282
2024,II квартал,Мякинино,Арбатско-Покровская линия,5,55.823342,37.385214
2024,II квартал,Нагатинская,Серпуховско-Тимирязевская линия,2,55.682099,37.620917
2024,II квартал,Нагатинский затон,Большая кольцевая линия,4,55.684427,37.704592
2024,II квартал,Нагорная,Серпуховско-Тимирязевская линия,2,55.672962,37.610397
2024,II квартал,Народное ополчение,Большая кольцевая линия,4,55.775697,37.485071
2024,II квартал,Нахимовский проспект,Серпуховско-Тимирязевская линия,3,55.662379,37.605274
2024,II квартал,Некрасовка,Некрасовская линия,5,55.702967,37.92803
2024,II квартал,Нижегородская,Московское центральное кольцо,1,55.731835,37.729404
2024,II квартал,Нижегородская,Некрасовская линия,3,55.731835,37.729404
2024,II квартал,Новаторская,Большая кольцевая линия,3,55.669823,37.52218
2024,II квартал,Новогиреево,Калининская линия,3,55.752237,37.814587
2024,II квартал,Новокосино,Калининская линия,5,55.745113,37.864052
2024,II квартал,Новокузнецкая,Замоскворецкая линия,1,55.742391,37.62928
2024,II квартал,Новомосковская,Сокольническая линия,5,55.560071,37.46865
2024,II квартал,Новопеределкино,Солнцевская линия,5,55.6385,37.3544
2024,II квартал,Новослободская,Кольцевая линия,1,55.779606,37.601252
2024,II квартал,Новохохловская,Московское центральное кольцо,3,55.723889,37.716111
2024,II квартал,Новоясеневская,Калужско-Рижская линия,5,55.601947,37.553017
2024,II квартал,Новые черёмушки,Калужско-Рижская линия,2,55.670077,37.554493
2024,II квартал,Озёрная,Солнцевская линия,5,55.6698,37.4495
2024,II квартал,Окружная,Люблинско-Дмитровская линия,2,55.844748,37.575531
2024,II квартал,Окружная,Московское центральное кольцо,3,55.844748,37.575531
2024,II квартал,Окская,Некрасовская линия,3,55.718623,37.781272
2024,II квартал,Октябрьская,Калужско-Рижская линия,2,55.729264,37.611049
2024,II квартал,Октябрьская,Кольцевая линия,1,55.729264,37.611049
2024,II квартал,Октябрьское поле,Таганско-Краснопресненская линия,2,55.793581,37.493317
2024,II квартал,Ольховая,Сокольническая линия,5,55.56898,37.459047
2024,II квартал,Орехово,Замоскворецкая линия,5,55.61269,37.695214
2024,II квартал,Отрадное,Серпуховско-Тимирязевская линия,3,55.864273,37.605066
2024,II квартал,Охотный ряд,Сокольническая линия,5,55.757228,37.615078
2024,II квартал,Павелецкая,Замоскворецкая линия,3,55.729741,37.638693
2024,II квартал,Павелецкая,Кольцевая линия,1,55.729741,37.638693
2024,II квартал,Панфиловская,Московское центральное кольцо,2,55.799167,37.498889
2024,II квартал,Парк победы,Арбатско-Покровская линия,5,55.735679,37.516865
2024,II квартал,Парк победы,Солнцевская линия,4,55.735679,37.516865
2024,II квартал,Парк культуры,Кольцевая линия,1,55.736163,37.595027
2024,II квартал,Парк культуры,Сокольническая линия,2,55.736163,37.595027
2024,II квартал,Партизанская,Арбатско-Покровская линия,5,55.788401,37.74882
2024,II квартал,Первомайская,Арбатско-Покровская линия,5,55.794376,37.799364
2024,II квартал,Перово,Калининская линия,5,55.75098,37.78422
2024,II квартал,Петровский парк,Большая кольцевая линия,2,55.791957,37.557322
2024,II квартал,Петровско-Разумовская,Люблинско-Дмитровская линия,5,55.836565,37.575512
2024,II квартал,Петровско-Разумовская,Серпуховско-Тимирязевская линия,4,55.836565,37.575512
2024,II квартал,Печатники,Большая кольцевая линия,4,55.692921,37.728338
2024,II квартал,Печатники,Люблинско-Дмитровская линия,4,55.692921,37.728338
2024,II квартал,Пионерская,Филёвская линия,5,55.736027,37.466728
2024,II квартал,Планерная,Таганско-Краснопресненская линия,5,55.859676,37.436808
2024,II квартал,Площадь гагарина,Московское центральное кольцо,3,55.706944,37.585833
2024,II квартал,Площадь ильича,Калининская линия,3,55.747115,37.680726
2024,II квартал,Площадь революции,Арбатско-Покровская линия,4,55.756741,37.62236
2024,II квартал,Полежаевская,Таганско-Краснопресненская линия,2,55.777201,37.517895
2024,II квартал,Полянка,Серпуховско-Тимирязевская линия,1,55.736795,37.618594
2024,II квартал,Пражская,Серпуховско-Тимирязевская линия,4,55.610962,37.602386
2024,II квартал,Преображенская площадь,Сокольническая линия,2,55.796322,37.713582
2024,II квартал,Прокшино,Сокольническая линия,4,55.586456,37.43322
2024,II квартал,Пролетарская,Таганско-Краснопресненская линия,2,55.731546,37.666917
2024,II квартал,Проспект вернадского,Большая кольцевая линия,2,55.676549,37.504584
2024,II квартал,Проспект вернадского,Сокольническая линия,2,55.676549,37.504584
2024,II квартал,Проспект мира,Калужско-Рижская линия,1,55.779584,37.633646
2024,II квартал,Проспект мира,Кольцевая линия,1,55.779584,37.633646
2024,II квартал,Профсоюзная,Калужско-Рижская линия,1,55.677671,37.562595
2024,II квартал,Пушкинская,Таганско-Краснопресненская линия,1,55.765607,37.604356
2024,II квартал,Пыхтино,Солнцевская линия,5,55.625,37.298056
2024,II квартал,Пятницкое шоссе,Арбатско-Покровская линия,5,55.853634,37.353108
2024,II квартал,Раменки,Солнцевская линия,4,55.697691,37.498725
2024,II квартал,Рассказовка,Солнцевская линия,5,55.6324,37.3328
2024,II квартал,Речной вокзал,Замоскворецкая линия,5,55.008738,82.93827
2024,II квартал,Рижская,Большая кольцевая линия,2,55.792494,37.636114
2024,II квартал,Рижская,Калужско-Рижская линия,3,55.792494,37.636114
2024,II квартал,Римская,Люблинско-Дмитровская линия,2,55.747027,37.679996
2024,II квартал,Ростокино,Московское центральное кольцо,4,55.839444,37.667778
2024,II квартал,Румянцево,Сокольническая линия,4,55.633,37.4419
2024,II квартал,Рязанский проспект,Таганско-Краснопресненская линия,3,55.716139,37.792694
2024,II квартал,Савёловская,Большая кольцевая линия,2,55.794054,37.587163
2024,II квартал,Савёловская,Серпуховско-Тимирязевская линия,5,55.794054,37.587163
2024,II квартал,Саларьево,Сокольническая линия,3,55.6227,37.424
2024,II квартал,Свиблово,Калужско-Рижская линия,4,55.855558,37.653379
2024,II квартал,Севастопольская,Серпуховско-Тимирязевская линия,2,55.651451,37.59809
2024,II квартал,Селигерская,Люблинско-Дмитровская линия,5,55.866556,37.547117
2024,II квартал,Семёновская,Арбатско-Покровская линия,1,55.783096,37.719289
2024,II квартал,Серпуховская,Серпуховско-Тимирязевская линия,1,55.726548,37.624792
2024,II квартал,Славянский бульвар,Арбатско-Покровская линия,3,55.729542,37.470973
2024,II квартал,Смоленская,Арбатско-Покровская линия,1,55.747713,37.583802
2024,II квартал,Смоленская,Филёвская линия,3,55.747713,37.583802
2024,II квартал,Сокол,Замоскворецкая линия,2,55.805564,37.515245
2024,II квартал,Соколиная гора,Московское центральное кольцо,2,55.77,37.745278
2024,II квартал,Сокольники,Большая кольцевая линия,1,55.789282,37.679895
2024,II квартал,Сокольники,Сокольническая линия,3,55.789282,37.679895
2024,II квартал,Солнцево,Солнцевская линия,5,55.649,37.3911
2024,II квартал,Спартак,Таганско-Краснопресненская линия,5,55.8182,37.4352
2024,II квартал,Спортивная,Сокольническая линия,1,55.722388,37.562041
2024,II квартал,Сретенский бульвар,Люблинско-Дмитровская линия,2,55.766106,37.635688
